ExpId,Id,Sentence,Distractor,Type,Group
train,T1,Today is a good day for an experiment.,x-x-x lord dad whom died knew vs constitute.,,A
train,T2,The experimenters hope that you are well.,x-x-x characterised holy cent jack pre mark.,,A
train,T3,The experiment should be fun for everybody.,x-x-x accomplish minute oh hear lady purchased.,,A
train,T4,The class was taught online this fall.,x-x-x aware okay extent forget cool tons.,,A
train,T1,Today is a good day for an experiment.,x-x-x lord dad whom died knew vs constitute.,,B
train,T2,The experimenters hope that you are well.,x-x-x characterised holy cent jack pre mark.,,B
train,T3,The experiment should be fun for everybody.,x-x-x accomplish minute oh hear lady purchased.,,B
train,T4,The class was taught online this fall.,x-x-x aware okay extent forget cool tons.,,B
train,T1,Today is a good day for an experiment.,x-x-x lord dad whom died knew vs constitute.,,C
train,T2,The experimenters hope that you are well.,x-x-x characterised holy cent jack pre mark.,,C
train,T3,The experiment should be fun for everybody.,x-x-x accomplish minute oh hear lady purchased.,,C
train,T4,The class was taught online this fall.,x-x-x aware okay extent forget cool tons.,,C
train,T1,Today is a good day for an experiment.,x-x-x lord dad whom died knew vs constitute.,,D
train,T2,The experimenters hope that you are well.,x-x-x characterised holy cent jack pre mark.,,D
train,T3,The experiment should be fun for everybody.,x-x-x accomplish minute oh hear lady purchased.,,D
train,T4,The class was taught online this fall.,x-x-x aware okay extent forget cool tons.,,D
